Signal Legend:

Key        Signal Name

0        = KEY[1]
1        = alu_out
2        = func_return
3        = rs2_data
4        = width
5        = d_rdata
6        = d_wdata
7        = d_be

Data Table:

Signals-> 0 1         2         3         4  5         6         7  

sample

-16       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-15       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-14       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-13       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-12       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-11       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-10       1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-9        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-8        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-7        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-6        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-5        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-4        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-3        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-2        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
-1        1 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
0         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
1         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
2         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
3         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
4         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
5         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
6         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
7         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
8         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
9         0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
10        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
11        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
12        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
13        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
14        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
15        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
16        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
17        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
18        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
19        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
20        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
21        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
22        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
23        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
24        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
25        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
26        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
27        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
28        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
29        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
30        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
31        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
32        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
33        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
34        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
35        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
36        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
37        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
38        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
39        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
40        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
41        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
42        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
43        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
44        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
45        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
46        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
47        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
48        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
49        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
50        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
51        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
52        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
53        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
54        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
55        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
56        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
57        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
58        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
59        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
60        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
61        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
62        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
63        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
64        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
65        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
66        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
67        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
68        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
69        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
70        0 00000053h 00000050h 00000050h 0h 50000080h 50000000h 8h 
